File,G1 Objective,G1 Time,G1 Fac,G2 Objective,G2 Time,G2 Fac,Winner,Diff (%)
cap101.txt,1248142.9000000004,0.004840,1,813466.5500000002,0.001069,13,Greedy 2,53.44%
cap102.txt,1248142.9000000004,0.005582,1,871406.3625000003,0.000489,7,Greedy 2,43.23%
cap103.txt,1248142.9000000004,0.006094,1,920972.9625000005,0.000890,4,Greedy 2,35.52%
cap104.txt,1248142.9000000004,0.004482,1,951164.3500000004,0.000692,3,Greedy 2,31.22%
cap111.txt,INF,-,-,INF,-,-,TIE,-
cap112.txt,INF,-,-,INF,-,-,TIE,-
cap113.txt,INF,-,-,INF,-,-,TIE,-
cap114.txt,INF,-,-,INF,-,-,TIE,-
cap121.txt,1120207.725,0.008662,4,813466.5500000002,0.001245,13,Greedy 2,37.71%
cap122.txt,1135207.725,0.012876,4,894669.7125000003,0.001283,7,Greedy 2,26.89%
cap123.txt,1150207.725,0.013920,4,964888.5375000001,0.001337,6,Greedy 2,19.21%
cap124.txt,1172707.725,0.015644,4,1046787.1749999999,0.001409,5,Greedy 2,12.03%
cap131.txt,1248142.9000000004,0.010009,1,813466.5500000002,0.001446,13,Greedy 2,53.44%
cap132.txt,1248142.9000000004,0.010633,1,871406.3625000003,0.000998,7,Greedy 2,43.23%
cap133.txt,1248142.9000000004,0.012010,1,920972.9625000005,0.000914,4,Greedy 2,35.52%
cap134.txt,1248142.9000000004,0.012703,1,951164.3500000004,0.001728,3,Greedy 2,31.22%
cap41.txt,INF,-,-,INF,-,-,TIE,-
cap42.txt,INF,-,-,INF,-,-,TIE,-
cap43.txt,INF,-,-,INF,-,-,TIE,-
cap44.txt,INF,-,-,INF,-,-,TIE,-
cap51.txt,INF,-,-,INF,-,-,TIE,-
cap61.txt,1175183.425,0.004504,4,951373.4250000003,0.000479,10,Greedy 2,23.52%
cap62.txt,1190183.425,0.004720,4,1067595.0125,0.000414,6,Greedy 2,11.48%
cap63.txt,1205183.4250000003,0.002685,4,1148294.1250000002,0.000527,6,Greedy 2,4.95%
cap64.txt,1227683.4250000003,0.003597,4,1268934.55,0.000466,5,Greedy 1,3.36%
cap71.txt,1248142.9000000004,0.003286,1,961206.7125000001,0.000479,9,Greedy 2,29.85%
cap72.txt,1248142.9000000004,0.003758,1,1003078.4000000003,0.000413,5,Greedy 2,24.43%
cap73.txt,1248142.9000000004,0.004378,1,1023841.3750000005,0.000412,3,Greedy 2,21.91%
cap74.txt,1248142.9000000004,0.002916,1,1038841.3750000005,0.000242,3,Greedy 2,20.15%
cap81.txt,INF,-,-,INF,-,-,TIE,-
cap82.txt,INF,-,-,INF,-,-,TIE,-
cap83.txt,INF,-,-,INF,-,-,TIE,-
cap84.txt,INF,-,-,INF,-,-,TIE,-
cap91.txt,1120207.725,0.006510,4,813466.5500000002,0.000775,13,Greedy 2,37.71%
cap92.txt,1135207.725,0.006809,4,894669.7125000003,0.000617,7,Greedy 2,26.89%
cap93.txt,1150207.725,0.007034,4,964888.5375000001,0.000597,6,Greedy 2,19.21%
cap94.txt,1172707.725,0.006371,4,1046787.1749999999,0.000996,5,Greedy 2,12.03%
