Algorithm,Min,Q1,Median,Mean,Q3,Max
Greedy1,10.5096,16.1728,21.3323,25.0055,30.3626,57.3079
Greedy2,0.3734,2.5241,4.2606,6.3458,10.1176,20.4840
Move1,0.3734,2.3384,3.1236,5.5048,8.2547,20.4840
Move2,0.3734,2.5241,4.2606,6.2537,9.5292,20.4840
Move3,0.0000,0.6818,1.9446,2.6505,4.6697,8.6895
Move4,0.3734,1.9076,3.5860,4.3286,5.7496,11.1617
Move5,0.3734,2.2424,3.1236,4.8753,7.2336,15.2909
VND3,0.0000,0.1698,0.6226,0.8828,1.5632,2.9691
VND4,0.0000,0.0253,0.3133,0.6777,1.0288,2.9691
VND,0.0000,0.0000,0.2655,0.5257,0.8276,1.8503
