File,Status,Objective (Baseline),Time (s),Facilities Opened,Note
cap41.txt,FEASIBLE,1210217.4750,0.0004,12,Move1
cap42.txt,FEASIBLE,1296917.9125,0.0008,10,Move1
cap43.txt,FEASIBLE,1309451.5750,0.0007,10,Move1
cap44.txt,FEASIBLE,1506933.2625,0.0001,9,Move1
cap61.txt,FEASIBLE,943476.5250,0.0004,10,Move1
cap62.txt,FEASIBLE,1067595.0125,0.0001,6,Move1
cap63.txt,FEASIBLE,1112069.3125,0.0008,6,Move1
cap64.txt,FEASIBLE,1268934.5500,0.0001,5,Move1
cap71.txt,FEASIBLE,953309.8125,0.0004,9,Move1
cap72.txt,FEASIBLE,1003078.4000,0.0001,5,Move1
cap73.txt,FEASIBLE,1023841.3750,0.0001,3,Move1
cap74.txt,FEASIBLE,1038841.3750,0.0001,3,Move1
cap81.txt,FEASIBLE,963831.3625,0.0007,16,Move1
cap82.txt,FEASIBLE,1085401.7875,0.0003,11,Move1
cap83.txt,FEASIBLE,1136560.3500,0.0006,10,Move1
cap84.txt,FEASIBLE,1290899.1375,0.0006,10,Move1
cap91.txt,FEASIBLE,813466.5500,0.0002,13,Move1
cap92.txt,FEASIBLE,894669.7125,0.0002,7,Move1
cap93.txt,FEASIBLE,957346.7750,0.0005,6,Move1
cap94.txt,FEASIBLE,1043431.0750,0.0004,5,Move1
cap101.txt,FEASIBLE,813466.5500,0.0002,13,Move1
cap102.txt,FEASIBLE,871406.3625,0.0002,7,Move1
cap103.txt,FEASIBLE,920972.9625,0.0002,4,Move1
cap104.txt,FEASIBLE,951164.3500,0.0002,3,Move1
cap111.txt,FEASIBLE,965749.8875,0.0013,16,Move1
cap112.txt,FEASIBLE,1050879.7875,0.0013,12,Move1
cap113.txt,FEASIBLE,1136560.3500,0.0012,10,Move1
cap114.txt,FEASIBLE,1275728.5250,0.0009,10,Move1
cap121.txt,FEASIBLE,813466.5500,0.0003,13,Move1
cap122.txt,FEASIBLE,894669.7125,0.0003,7,Move1
cap123.txt,FEASIBLE,957346.7750,0.0009,6,Move1
cap124.txt,FEASIBLE,1043431.0750,0.0006,5,Move1
cap131.txt,FEASIBLE,813466.5500,0.0003,13,Move1
cap132.txt,FEASIBLE,871406.3625,0.0003,7,Move1
cap133.txt,FEASIBLE,920972.9625,0.0003,4,Move1
cap134.txt,FEASIBLE,951164.3500,0.0004,3,Move1
cap51.txt,FEASIBLE,1366429.0250,0.0003,6,Move1
