Iteration,Move,Objective
0,Initial Greedy2,1378150.2249999999
1,Move1,1369192.325
2,Move1,1366429.025
3,Move1,1363368.3499999999
4,Move1,1360926.7874999999
5,Move1,1358664.6749999998
6,Move1,1356503.2499999998
7,Move1,1355775.7124999997
8,Move1,1355457.9374999998
9,Move3,1305134.9374999998
10,Move1,1297801.5749999997
11,Move1,1293589.1249999998
12,Move1,1290555.8999999997
13,Move1,1287690.6499999997
14,Move1,1285190.3749999998
15,Move1,1282701.5499999998
16,Move1,1280690.6124999998
17,Move1,1280372.4749999999
18,Move1,1280057.5499999998
19,Move1,1279743.9749999999
20,Move1,1279468.3749999998
21,Move1,1279455.7374999998
22,Move3,1267407.525
23,Move1,1261330.625
24,Move1,1257349.325
25,Move3,1253548.7625
26,Move5,1235194.8625
27,Move1,1229228.4625000001
28,Move1,1225426.5625000002
29,Move1,1223084.4125000003
30,Move1,1221583.0875000004
31,Move1,1220230.6875000005
32,Move1,1219381.6250000005
33,Move1,1219192.9250000005
34,Move1,1219174.3625000005
